rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
24,LSU,SEC,22-11,106.42334115143669,94,89.56751070188871,7,0.8789975324834965,24,22,11,9,9,9-9,0.6865482974664109,0.5130781952283788,0.8076657667133901,0.6865482974664109,0.5130781952283788,0.8076657667133901,0.7007682279597942,0.8548348284329008,107.08114178455257,98.15881562643759,107.08114178455257,98.15881562643759,106.13884001532412,90.45826599617958,111.55372743509733,94.17460969352601,0.8751837109262344,15,0.0003430077119483954,1247.0,1224.0,1262.3125,0.9878694855671635,0.9696489577660049,0,0.5,2.41448648332504,32,176,68.69365703634352
25,San Diego St.,MWC,23-8,102.4062249337797,176,86.42465425172912,2,0.8755836328594537,25,23,8,13,4,13-4,0.6542700472971907,0.5786417713891879,0.6723181839054497,0.6542700472971907,0.5786417713891879,0.6723181839054497,0.7507152105086142,0.7935513601262827,105.65631179818546,98.79852230405133,105.65631179818546,98.79852230405133,103.82800140673335,86.04858128975262,104.64276247520449,89.94327997734521,0.850787374323378,11,0.030806502014120496,1144.0,988.0,1126.4375000000002,1.0155911890362312,0.8771014814403816,0,0.7647058823529411,3.1068096129774676,27,107,65.16955001027299
26,Michigan,B10,17-14,114.64043444119574,18,97.13258046058994,74,0.8705491298621058,26,17,14,11,9,11-9,0.7582975551182632,0.642095385602385,0.8103532236977848,0.7582975551182632,0.642095385602385,0.8103532236977848,0.6552488798212645,0.7540634701538257,109.82582549339259,97.40037888177096,109.82582549339259,97.40037888177096,116.05369207913688,98.6992921306013,118.95600545207994,102.18851481929934,0.851605099318814,15,-0.05254966064191802,1483.0,1440.0,1341.1374999999998,1.1057777446384134,1.0737154094938066,0,0.55,0.490599283929,54,283,66.09087970647373
27,Alabama,SEC,19-13,115.95360811439686,13,98.61330772993495,105,0.8656247870653176,27,19,13,9,9,9-9,0.7693079485835692,0.7294103755510988,0.796805862618815,0.7693079485835692,0.7294103755510988,0.796805862618815,0.6518612165545715,0.6869280517756636,109.29909815804572,96.28503646535955,109.29909815804572,96.28503646535955,115.27492976396141,100.53124225216385,125.69585559307211,103.51928546527454,0.9031069318830334,16,0.004949785885689062,1401.0,1405.0,1320.8375,1.0606906602818287,1.0637190418957667,0,0.5,2.1161399328068216,34,168,71.58491008834007
28,Wisconsin,B10,24-7,110.18703506747482,43,93.88970555682506,31,0.863028242705072,28,24,7,15,5,15-5,0.7304321923910846,0.5817961436741125,0.7992473318785163,0.7304321923910846,0.5817961436741125,0.7992473318785163,0.6797413880223886,0.767369952964471,108.88750685437681,98.05588798265188,108.88750685437681,98.05588798265188,110.02816312729354,93.13276199699439,130.46925678022384,104.07428096362143,0.9308214380859554,14,0.16009717260412593,1404.0,1368.0,1349.0999999999997,1.0406937958639095,1.0140093395597067,0,0.75,6.6899863225393865,10,3,66.37766174645778
29,Boise St.,MWC,27-7,108.33581102489089,71,92.42670622070497,21,0.8613356128651048,29,27,7,15,3,15-3,0.6246246177741414,0.5049543348684838,0.6885279462364935,0.6246246177741414,0.5049543348684838,0.6885279462364935,0.7824814250254954,0.8660751544040775,104.5226246654945,98.62047593885315,104.5226246654945,98.62047593885315,111.83089987373859,94.23279790894973,104.80914939265028,88.37440546061819,0.8766870613514928,8,0.06990662900889244,1242.0,1124.0,1159.0874999999999,1.0715325633310688,0.9697283423382619,0,0.8333333333333334,4.007933274993451,22,48,64.64138664470687
30,Ohio St.,B10,19-11,116.8741019222697,11,99.73087181381501,126,0.8610637459505524,30,19,11,12,8,12-8,0.7199363960111766,0.5728681613522218,0.7865027472607664,0.7199363960111766,0.5728681613522218,0.7865027472607664,0.6984403625550163,0.7902952386365132,108.01408166302771,98.29096511343033,108.01408166302771,98.29096511343033,117.19361816100024,98.74004019262212,123.03824428175545,104.75770744412938,0.8640940667716315,13,0.0024844635651081193,1455.0,1390.0,1313.1875,1.107991052305935,1.0584931702441578,0,0.6,1.6432640200511903,44,171,65.11001203649596
31,Oklahoma,B12,18-15,109.665721412121,50,93.93579711455035,32,0.8557574822792332,31,18,15,7,11,7-11,0.7277771291557522,0.5050987601601293,0.8648368747769761,0.7277771291557522,0.5050987601601293,0.8648368747769761,0.6351414485761051,0.8120505065993651,106.94489512317827,95.60826650809196,106.94489512317827,95.60826650809196,110.2715765880258,95.59535412385947,113.74587012443529,97.41848327185492,0.8559355237751691,18,-0.017219077231862112,1168.0,1213.0,1184.3500000000001,0.9861949592603537,1.024190484231857,0,0.3888888888888889,0.7561883653603794,51,216,64.92266919758674
32,North Carolina,ACC,24-9,112.36308911180028,26,96.37919938708754,65,0.8537871567007115,32,24,9,15,5,15-5,0.6736500748498266,0.5902474321493061,0.7040281315001067,0.6736500748498266,0.5902474321493061,0.7040281315001067,0.7226805718251669,0.7547979172118527,107.97287368144626,99.39411054977388,107.97287368144626,99.39411054977388,114.3767963098982,97.42889235855745,117.13208526993384,107.37903885543315,0.7310149748703961,12,0.07537020378903325,1572.0,1457.0,1413.1000000000001,1.1124478097799164,1.0310664496497062,0,0.75,3.7118470393148875,23,38,70.14270849662817
33,Loyola Chicago,MVC,25-7,108.77899999075964,65,93.60737360280822,29,0.8490802084973279,33,25,7,13,5,13-5,0.5552078632635673,0.5253532491600565,0.5474955899903655,0.5552078632635673,0.5253532491600565,0.5474955899903655,0.8131560576313203,0.7737604019708791,103.77774732332665,100.80951271682451,103.77774732332665,100.80951271682451,107.6948798769756,97.4293254960377,125.48842127923254,103.21709735701612,0.9043791933827396,4,0.03421457519285864,1307.0,1154.0,1193.5,1.0950984499371597,0.9669040636782572,0,0.7222222222222222,1.9831621113178888,38,100,64.5000885499058
34,Oklahoma St.,B12,15-15,102.7401840079996,167,88.66231797024079,6,0.8448459671673214,34,15,15,8,10,8-10,0.73489109080238,0.5381351414505889,0.8660617237035743,0.73489109080238,0.5381351414505889,0.8660617237035743,0.6517900020124281,0.8253724170411932,108.11500441418661,96.34675233868636,108.11500441418661,96.34675233868636,102.62414966428831,87.52370391927766,107.96267586350568,92.73971876287335,0.8516839909682632,15,-0.06446146639283579,1155.0,1158.0,1231.3000000000002,0.9380329732802728,0.9404694225615202,0,0.4444444444444444,-1.1651754635956582,68,305,67.83797489182909
35,Texas A&M,SEC,23-11,109.47624703161756,52,94.55544178469947,39,0.8435647451778121,35,23.27223168199569,11.727768318004308,9,9,9-9,0.6336277563507334,0.4066916220934562,0.7563653845301174,0.6422421467725673,0.4066916220934562,0.7563653845301174,0.7175893816546782,0.8761462467289451,105.97839612197969,98.70226255200471,106.1209955984649,98.38387808028769,109.65062447419366,96.57109737459587,118.07621965606441,100.04727039035669,0.8705022706724811,15,0.028609486775944992,1275.0,1275.0,1247.9249999999997,1.0216960153855401,1.0216960153855401,0,0.5,1.7163736469430935,43,113,66.62658646477162
36,Wake Forest,ACC,23-9,111.35953588371748,33,96.18559665549105,62,0.8435088138468821,36,23,9,13,7,13-7,0.5896162935094413,0.3541606599032399,0.7185455779915226,0.5896162935094413,0.3541606599032399,0.7185455779915226,0.7874231286780912,0.916983754152745,106.098715919695,101.9522921439374,106.098715919695,101.9522921439374,113.92489986496875,95.95548170988039,124.09206696460586,110.86023115324105,0.7852732859964272,7,0.004826264448860029,1572.0,1421.0,1406.65,1.1175487861230582,1.0102015426723066,0,0.65,0.8281100309524192,47,169,69.90742512130484
37,Michigan St.,B10,22-12,110.75273469711404,38,95.85043463494443,53,0.8404898898100283,37,22,12,11,9,11-9,0.7347375031571092,0.5960774803618706,0.7944715052376504,0.7347375031571092,0.5960774803618706,0.7944715052376504,0.6718164715232836,0.7485685684361947,109.24263353247103,97.99810796848931,109.24263353247103,97.99810796848931,110.8307419746897,97.06883789904062,120.9604327970852,105.45455888445348,0.8288655630233899,16,0.07460681729703023,1406.0,1399.0,1339.3375,1.049772742120638,1.044546277543935,0,0.55,3.2626651227633006,25,41,67.59949644235273
38,TCU,B12,20-12,107.93576703423113,79,93.48848022742357,27,0.839232410190838,38,20,12,8,10,8-10,0.7110547766705476,0.4414808666939815,0.8666909048914473,0.7110547766705476,0.4414808666939815,0.8666909048914473,0.6554937834741864,0.8778775674628668,107.18653766517876,96.63149191250051,107.18653766517876,96.63149191250051,108.19022728179928,92.79585304443793,112.12235725430719,94.37216037042477,0.8788902922325995,17,0.0634908598004349,1160.0,1198.0,1198.7375,0.9676847516658151,0.9993847693927987,0,0.4444444444444444,2.602243286577167,30,56,65.81890945877934
39,Murray St.,OVC,30-2,109.75149746061916,48,95.23329732807935,43,0.8364056886533432,39,30,2,18,0,18-0,0.3986584377485529,0.4529910854266093,0.3503814279651892,0.3986584377485529,0.4529910854266093,0.3503814279651892,0.8826090938707061,0.82766535714131,101.16759129074399,103.60372945636335,101.16759129074399,103.60372945636335,109.573773967135,95.25298424737305,109.28352187358783,95.89425934145754,0.8180280833614746,2,0.10541532832592082,1375.0,1065.0,1194.5749999999998,1.1510369796789655,0.8915304606240715,0,1.0,3.6481803368829233,24,12,65.83925697468662
40,Notre Dame,ACC,22-10,112.02511258236217,28,97.39835014070944,79,0.8332737026182498,40,22,10,15,5,15-5,0.6279674888555027,0.5172302538088538,0.6759924686293093,0.6279674888555027,0.5172302538088538,0.6759924686293093,0.7508451268577346,0.7593033198624378,106.45419486797167,99.49298451971383,106.45419486797167,99.49298451971383,112.650642279332,96.72587777893328,118.85910717584392,104.82340897950186,0.8092446535427946,10,0.03138662536557546,1453.0,1339.0,1329.0249999999996,1.09328266962623,1.0075055021538348,0,0.75,1.3278115812159217,45,106,65.50119335811141
41,Dayton,A10,23-10,108.78344956841016,64,94.82510588277981,40,0.829096503458923,41,23,10,14,4,14-4,0.5420729234487867,0.49257656318016474,0.5736470151423371,0.5420729234487867,0.49257656318016474,0.5736470151423371,0.8197325238385427,0.8094836157715144,103.14823045725424,101.1348259000355,103.14823045725424,101.1348259000355,110.87939758351598,92.17777945056022,126.49137036796338,102.85154735586693,0.9152278053652458,5,-0.038317260200067316,1227.0,1041.0,1132.6000000000001,1.0833480487374183,0.9191241391488609,0,0.7777777777777778,-1.1184954329954988,67,260,62.97702629460123
42,Colorado St.,MWC,25-5,112.71306315997312,23,98.27446927754072,97,0.8286986261809608,42,25,5,14,4,14-4,0.6119605236000609,0.44519077976447835,0.6780214324812389,0.6119605236000609,0.44519077976447835,0.6780214324812389,0.776634819755319,0.8640826219869145,104.52019350201998,99.10963286871265,104.52019350201998,99.10963286871265,112.2677454898479,98.25019638609773,118.21372473417676,98.838980016921,0.8868061662366201,9,0.155858287642908,1267.0,1188.0,1178.9249999999997,1.0747078906631042,1.0076976906927924,0,0.7777777777777778,4.812693084892906,16,6,65.31803983096056
43,Washington St.,P12,19-14,108.13693792561165,73,94.33060385511786,36,0.827899900976367,43,19,14,11,9,11-9,0.6189043838211777,0.4691504444902792,0.6873009555297785,0.6189043838211777,0.4691504444902792,0.6873009555297785,0.7874295513175771,0.8895099047441035,105.3134102826306,99.96372036808461,105.3134102826306,99.96372036808461,106.98502260708008,93.24702156491273,103.40093869778198,97.5053531201176,0.6626503935251274,6,-0.11653935783432667,1370.0,1292.0,1329.9125,1.0301429605331178,0.9714924854078747,0,0.55,-3.7309998389424037,110,348,66.12953476069497
44,Utah St.,MWC,18-15,109.76083951647249,47,95.80324653561935,52,0.8269384928532701,44,18,15,8,10,8-10,0.6012918406296314,0.5371169757471038,0.6506354438744941,0.6012918406296314,0.5371169757471038,0.6506354438744941,0.7755342095775187,0.803314840204734,104.87839168248186,99.31245132497575,104.87839168248186,99.31245132497575,108.23970166202899,95.95769868572765,121.8798804846816,109.23968765845964,0.7788802093984488,12,-0.13195128185164495,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111435,0,0.4444444444444444,-4.276689792833823,116,355,66.43043678704436
45,Providence,BE,25-5,111.88502909682225,29,97.81835679280962,88,0.8242099573387629,45,25,5,14,3,14-3,0.6660235628556709,0.532447104107952,0.7465290672189577,0.6660235628556709,0.532447104107952,0.7465290672189577,0.7445115165849395,0.8177575174865094,105.59264469941058,98.44813734821786,105.59264469941058,98.44813734821786,112.78690955540988,96.3647173913701,120.58205096059898,101.84968021164782,0.8745248578129023,8,0.19877878375395575,1251.0,1179.0,1160.6499999999999,1.0778443113772456,1.0158101064058933,0,0.8235294117647058,5.93689418272746,13,1,65.3572641264732
46,Davidson,A10,27-5,116.68181322963801,12,102.04495870195893,170,0.8236721849792881,46,27.653741525809384,5.346258474190616,15,3,15-3,0.5204937708950599,0.4391426535767629,0.5618185896806376,0.5263018596417947,0.4391426535767629,0.5618185896806376,0.8362820990996497,0.8630651882424943,101.77939018537073,100.21098139870142,101.98750581321852,100.21140994405195,116.7830592466757,104.45313426867631,132.9717602102362,114.01908374237298,0.8542543269862285,4,0.09284679699528697,1338.0,1204.0,1181.5249999999999,1.1324347770889318,1.019022026618142,0,0.8333333333333334,2.9304804928175745,29,20,64.55067249639932
47,North Texas,CUSA,24-6,104.44272176709012,131,91.49252660813917,15,0.8208897658440827,47,24,6,16,2,16-2,0.4881847440503331,0.5034204018033955,0.47627870072299267,0.4881847440503331,0.5034204018033955,0.47627870072299267,0.8515553864347184,0.8160135132656441,103.93029768051724,102.78772094815557,103.93029768051724,102.78772094815557,106.52798270569457,94.31243026108955,120.8532757078801,110.90441737864758,0.7286823437808742,2,0.030469571115458893,1184.0,1006.0,1083.075,1.0931837592041178,0.9288368764859313,0,0.8888888888888888,0.8006203087363161,48,109,58.97728547279957
